"geom","village_code","village_name","tehsil_code","tehsil_name","district_code","district_name","state_code","state_name","pincode","latitude","longitude","population","female","male","sc_population","st_population","isstarvillage","isstarpocket","issector","istownsector","label_star_pocket","label_star_pocket_pool","label_sector","label_sector_pool","catchment_branch_solid","catchment_branch_tag","catchment_branch_lat","catchment_branch_lng","catchment_branch_dist"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.754349,27.123436],[83.753362,27.122581],[83.752537,27.121653],[83.75218,27.121165],[83.751936,27.120693],[83.751517,27.119621],[83.751365,27.119128],[83.751339,27.11868],[83.751675,27.118015],[83.752282,27.117038],[83.751075,27.117192],[83.750407,27.117191],[83.749879,27.117135],[83.74855,27.116997],[83.748078,27.117025],[83.747487,27.117107],[83.746949,27.117215],[83.746633,27.117336],[83.745595,27.118078],[83.744128,27.119031],[83.743848,27.119095],[83.743008,27.11925],[83.743149,27.119541],[83.743518,27.120539],[83.743842,27.121457],[83.744038,27.121926],[83.744119,27.122235],[83.744106,27.122719],[83.744137,27.124456],[83.744125,27.125991],[83.74406,27.126878],[83.743915,27.127654],[83.743527,27.128817],[83.743128,27.129884],[83.745482,27.131376],[83.746864,27.13254],[83.749138,27.133716],[83.749367,27.133054],[83.749864,27.131304],[83.750242,27.12999],[83.750429,27.129564],[83.750731,27.129228],[83.751044,27.128998],[83.75141,27.128784],[83.752355,27.12826],[83.752396,27.127484],[83.75273,27.126019],[83.753133,27.125104],[83.753364,27.124608],[83.753758,27.124091],[83.754349,27.123436]]]]}",184132,"Bhujauli",945,"Nichlaul",187,"Mahrajganj",9,"Uttar Pradesh",273163,"27.125356","83.748678",1245,594,651,201,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","33.4460959190573"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.655164,27.153293],[83.655116,27.152149],[83.655082,27.151677],[83.653652,27.147811],[83.651806,27.144237],[83.650687,27.142072],[83.650492,27.141862],[83.650184,27.141592],[83.64858,27.141967],[83.647711,27.142081],[83.646727,27.142367],[83.646196,27.142557],[83.644789,27.14321],[83.641749,27.144789],[83.641483,27.144976],[83.641023,27.145383],[83.640768,27.145666],[83.640504,27.146024],[83.639822,27.147023],[83.639067,27.147884],[83.63903,27.148183],[83.639042,27.149148],[83.639031,27.149876],[83.638869,27.151078],[83.638773,27.153864],[83.638118,27.154628],[83.636423,27.156236],[83.639092,27.158039],[83.639746,27.15875],[83.64154,27.158142],[83.642638,27.157878],[83.646507,27.156789],[83.64794,27.156474],[83.649635,27.156243],[83.651017,27.156295],[83.65171,27.156544],[83.652776,27.157063],[83.653281,27.155884],[83.653443,27.155516],[83.653879,27.154805],[83.654792,27.15387],[83.655164,27.153293]]]]}",184520,"Vishwanathpur Urf Parawania",947,"Maharajganj",187,"Mahrajganj",9,"Uttar Pradesh",273303,"27.150171","83.645793",2033,981,1052,28,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","42.7450755108963"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.765498,27.056091],[83.765424,27.053185],[83.765331,27.052781],[83.765209,27.052517],[83.765039,27.052285],[83.76466,27.051868],[83.764211,27.051432],[83.763771,27.051004],[83.761816,27.048665],[83.761234,27.048096],[83.760882,27.047795],[83.760429,27.047517],[83.759955,27.047297],[83.759544,27.047154],[83.759121,27.047057],[83.758519,27.046988],[83.758058,27.04698],[83.757701,27.047034],[83.75743,27.047145],[83.756369,27.047813],[83.755043,27.048854],[83.754145,27.049587],[83.751847,27.051969],[83.750699,27.05329],[83.750014,27.053875],[83.74939,27.054264],[83.74903,27.054485],[83.748468,27.054657],[83.747663,27.054816],[83.747009,27.054929],[83.746678,27.055027],[83.74639,27.055239],[83.747093,27.057838],[83.7472,27.058584],[83.747235,27.059254],[83.747652,27.06392],[83.747528,27.064819],[83.747471,27.065435],[83.748331,27.065603],[83.752589,27.064158],[83.756706,27.062312],[83.758752,27.061413],[83.76138,27.060086],[83.762498,27.059524],[83.763234,27.059202],[83.763925,27.059131],[83.763997,27.058644],[83.765049,27.057258],[83.765382,27.056686],[83.765498,27.056091]]]]}",184542,"Ranipur",947,"Maharajganj",187,"Mahrajganj",9,"Uttar Pradesh",273163,"27.056291","83.755944",1893,976,917,561,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","27.7060780031155"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.800159,27.196763],[83.799125,27.196734],[83.798597,27.19676],[83.797981,27.196864],[83.797399,27.197004],[83.795725,27.19749],[83.792886,27.198175],[83.791217,27.19862],[83.789238,27.199244],[83.788758,27.199421],[83.789447,27.201757],[83.789822,27.203464],[83.790022,27.204425],[83.790144,27.204785],[83.790424,27.205306],[83.790625,27.205614],[83.792034,27.207312],[83.793278,27.208504],[83.794796,27.209663],[83.795247,27.209991],[83.795815,27.210348],[83.796493,27.210665],[83.796864,27.210745],[83.797402,27.210781],[83.797642,27.209108],[83.798272,27.204243],[83.799074,27.200988],[83.800159,27.196763]]]]}",184001,"Paikauli Khurd",945,"Nichlaul",187,"Mahrajganj",9,"Uttar Pradesh",273163,"27.203757","83.794458",224,113,111,24,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","37.9347515868325"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.640649,27.252602],[83.640398,27.251302],[83.640207,27.250773],[83.639957,27.250096],[83.639668,27.249685],[83.639296,27.249349],[83.638923,27.249182],[83.638647,27.248964],[83.638373,27.248566],[83.637891,27.247669],[83.636947,27.248034],[83.636489,27.248205],[83.636073,27.248314],[83.635725,27.248337],[83.635357,27.248285],[83.634969,27.248153],[83.634498,27.247868],[83.634265,27.247657],[83.633502,27.246711],[83.633195,27.246451],[83.632623,27.246579],[83.632223,27.246583],[83.631639,27.246453],[83.631144,27.246341],[83.63033,27.246174],[83.630062,27.247093],[83.6299,27.247587],[83.629633,27.248095],[83.62914,27.248741],[83.6281,27.250088],[83.626364,27.252211],[83.625493,27.253839],[83.626938,27.253863],[83.627501,27.253862],[83.627775,27.253985],[83.627753,27.254332],[83.627573,27.254917],[83.627398,27.255407],[83.627208,27.25575],[83.628745,27.255351],[83.629217,27.255283],[83.629885,27.255256],[83.632332,27.255027],[83.634158,27.254914],[83.635229,27.254821],[83.636282,27.254616],[83.636882,27.254518],[83.637485,27.254448],[83.638447,27.254318],[83.639233,27.254096],[83.63956,27.253767],[83.640345,27.25291],[83.640649,27.252602]]]]}",184055,"Mathiya",945,"Nichlaul",187,"Mahrajganj",9,"Uttar Pradesh",273207,"27.250962","83.633071",1072,512,560,671,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","51.4764454638762"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.952659,27.165019],[83.950336,27.16593],[83.949578,27.166087],[83.949246,27.166034],[83.948899,27.165855],[83.947771,27.16484],[83.945759,27.163264],[83.945235,27.162814],[83.944986,27.162529],[83.944785,27.162203],[83.944198,27.160934],[83.943415,27.159443],[83.943864,27.158736],[83.945299,27.157317],[83.946747,27.156058],[83.948032,27.155145],[83.947105,27.154295],[83.946745,27.154467],[83.944956,27.155315],[83.9431,27.156457],[83.941665,27.15714],[83.939327,27.158738],[83.937391,27.15976],[83.935746,27.160397],[83.934708,27.160636],[83.933883,27.160706],[83.933098,27.1608],[83.932593,27.161012],[83.932384,27.161281],[83.932265,27.161585],[83.932219,27.161896],[83.932314,27.162338],[83.932794,27.163418],[83.93347,27.164473],[83.933987,27.165632],[83.93452,27.166901],[83.935153,27.168873],[83.935254,27.169406],[83.935159,27.170002],[83.934903,27.170474],[83.934484,27.170885],[83.93536,27.171422],[83.936227,27.171768],[83.937104,27.17199],[83.939336,27.172222],[83.942485,27.172916],[83.942785,27.172954],[83.943144,27.172979],[83.943449,27.172924],[83.943842,27.172817],[83.945512,27.172216],[83.946944,27.171531],[83.947212,27.171428],[83.947671,27.171417],[83.948315,27.171519],[83.949085,27.17179],[83.94948,27.171881],[83.949923,27.171958],[83.95076,27.171948],[83.951164,27.171766],[83.95147,27.171054],[83.951705,27.170518],[83.951823,27.170091],[83.951975,27.168984],[83.952117,27.167769],[83.952269,27.167016],[83.952525,27.165857],[83.952659,27.165019]]]]}",188198,"Panhiwa",955,"Padrauna",189,"Kushinagar",9,"Uttar Pradesh",274801,"27.163637","83.942439",1829,884,945,78,1,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","29.0855339235061"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.853144,27.117361],[83.85292,27.117101],[83.852365,27.116427],[83.851166,27.114774],[83.850369,27.113354],[83.849812,27.112516],[83.849157,27.111721],[83.84842,27.111027],[83.847745,27.110561],[83.847335,27.110141],[83.845189,27.110133],[83.843746,27.110087],[83.842413,27.110078],[83.841604,27.110166],[83.840892,27.110433],[83.840049,27.110934],[83.83954,27.111366],[83.839315,27.111675],[83.839024,27.11199],[83.838839,27.113712],[83.838729,27.114118],[83.838662,27.114774],[83.838726,27.115798],[83.838797,27.118191],[83.83904,27.119502],[83.839342,27.120482],[83.840014,27.120029],[83.840451,27.119796],[83.843177,27.11916],[83.849206,27.117827],[83.853144,27.117361]]]]}",188232,"Ekdangi",955,"Padrauna",189,"Kushinagar",9,"Uttar Pradesh",274305,"27.11528","83.845903",2351,1151,1200,329,152,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","26.861181104368"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.924309,27.09528],[83.924173,27.094786],[83.923727,27.093498],[83.922617,27.09057],[83.922367,27.089915],[83.921928,27.088312],[83.921546,27.08663],[83.920981,27.084827],[83.920889,27.084223],[83.921023,27.083476],[83.92156,27.081614],[83.919864,27.08134],[83.919355,27.081264],[83.919009,27.081173],[83.917047,27.080412],[83.916908,27.080871],[83.916296,27.081821],[83.914978,27.083082],[83.914302,27.08357],[83.913897,27.083678],[83.913193,27.08369],[83.91288,27.083872],[83.912674,27.084664],[83.912524,27.085154],[83.911703,27.087075],[83.911212,27.088096],[83.911015,27.088536],[83.90966,27.093917],[83.909496,27.094544],[83.909162,27.094985],[83.908906,27.095178],[83.908314,27.095451],[83.907723,27.095601],[83.907548,27.096814],[83.907561,27.097279],[83.907652,27.097815],[83.907775,27.098238],[83.907899,27.098507],[83.908118,27.098855],[83.908542,27.099357],[83.909056,27.09934],[83.910113,27.099451],[83.910897,27.099639],[83.911184,27.099744],[83.911584,27.10009],[83.911853,27.100555],[83.912116,27.100286],[83.912197,27.099826],[83.912331,27.099416],[83.912948,27.098822],[83.91419,27.097982],[83.91491,27.097568],[83.916983,27.096704],[83.919883,27.095727],[83.922241,27.095143],[83.92275,27.095083],[83.923177,27.095145],[83.924309,27.09528]]]]}",188265,"Dharni Patti",955,"Padrauna",189,"Kushinagar",9,"Uttar Pradesh",274305,"27.090483","83.915928",2500,1177,1323,541,64,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","21.6157984170576"
"{""type"":""MultiPolygon"",""coordinates"":[[[[83.843367,26.961422],[83.843248,26.95997],[83.842454,26.96042],[83.842114,26.960549],[83.841732,26.960594],[83.841156,26.960604],[83.840752,26.960574],[83.839356,26.960104],[83.838207,26.95974],[83.837769,26.959647],[83.83681,26.959469],[83.836016,26.959388],[83.835434,26.959424],[83.834576,26.959547],[83.833273,26.959824],[83.831351,26.960532],[83.830922,26.960923],[83.830904,26.961793],[83.832207,26.962542],[83.832713,26.96284],[83.833187,26.963088],[83.833857,26.963432],[83.834806,26.963809],[83.835228,26.963944],[83.835553,26.963995],[83.835868,26.964022],[83.836522,26.964052],[83.836903,26.964009],[83.838026,26.963664],[83.839874,26.962968],[83.840323,26.962795],[83.840819,26.962647],[83.841597,26.962499],[83.842952,26.962361],[83.843353,26.962429],[83.843367,26.961422]]]]}",188406,"Shobha Chhapra 67",955,"Padrauna",189,"Kushinagar",9,"Uttar Pradesh",274305,"26.96172","83.837135",610,294,316,97,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","15.2971068853885"
"{""type"":""MultiPolygon"",""coordinates"":[[[[84.205203,26.783185],[84.204852,26.782818],[84.204363,26.78249],[84.203221,26.78202],[84.202074,26.781547],[84.19969,26.780555],[84.197927,26.780082],[84.197166,26.779989],[84.194851,26.779674],[84.192418,26.779413],[84.191989,26.779397],[84.191821,26.780933],[84.191874,26.782206],[84.191978,26.782708],[84.192172,26.783103],[84.193088,26.784263],[84.194075,26.78512],[84.194861,26.785519],[84.196382,26.786291],[84.196989,26.786235],[84.197914,26.786209],[84.198467,26.786178],[84.198811,26.786146],[84.19919,26.786053],[84.200837,26.785384],[84.203278,26.784237],[84.205203,26.783185]]]]}",189485,"Pandey Patti",958,"Tamkuhi Raj",189,"Kushinagar",9,"Uttar Pradesh",274302,"26.782844","84.198512",1183,619,564,282,0,false,false,false,false,,,,,1742,"Retail","26.90389824","83.97714996","25.7588279771504"
