village_code,village_name,tehsil_code,tehsil_name,district_code,district_name,state_code,state_name,pincode,latitude,longitude,population,female,male,sc_population,st_population,isstarvillage,isstarpocket,issector,istownsector,label_star_pocket,label_star_pocket_pool,label_sector,label_sector_pool,catchment_branch_solid,catchment_branch_tag,catchment_branch_lat,catchment_branch_lng,catchment_branch_dist,geom
93851,Jainiwas,622,Hindoli,121,Bundi,8,Rajasthan,323001,25.507913,75.645509,409,188,221,29,120,,,TRUE,,,,RJ6859SC07,RJ6859SC07-2,6859,RIBG,25.4426022,75.6397934,7.284859,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.657999,25.496327],[75.657287,25.495912],[75.655639,25.494972],[75.654405,25.494102],[75.653451,25.493222],[75.651934,25.492342],[75.651364,25.492173],[75.649743,25.491932],[75.647539,25.491613],[75.644245,25.491296],[75.642747,25.490983],[75.64107,25.490497],[75.639816,25.489962],[75.639775,25.490447],[75.639052,25.493965],[75.637681,25.497923],[75.636691,25.500792],[75.63613,25.502158],[75.635635,25.503236],[75.635055,25.504042],[75.634862,25.504256],[75.63471,25.504678],[75.634051,25.507521],[75.633179,25.511931],[75.63302,25.512929],[75.633048,25.514166],[75.633292,25.515125],[75.634345,25.517832],[75.634746,25.51893],[75.635088,25.519347],[75.635824,25.519688],[75.636753,25.519925],[75.637232,25.520097],[75.639836,25.521626],[75.642614,25.523132],[75.645665,25.524374],[75.648713,25.525562],[75.649646,25.525865],[75.650616,25.525809],[75.652124,25.525734],[75.652627,25.525649],[75.653147,25.525368],[75.654515,25.524145],[75.654988,25.523292],[75.655699,25.52198],[75.65592,25.521276],[75.656144,25.519477],[75.656081,25.518633],[75.65569,25.515545],[75.655263,25.512843],[75.654617,25.510805],[75.654189,25.508642],[75.653596,25.505495],[75.653479,25.504438],[75.653464,25.503296],[75.653597,25.502869],[75.65527,25.499932],[75.656464,25.498097],[75.65724,25.497128],[75.657999,25.496327]]]]}"
93858,Danta,622,Hindoli,121,Bundi,8,Rajasthan,323024,25.510654,75.562816,1159,549,610,152,468,,,TRUE,,,,RJ6859SC01,RJ6859SC01-1,6859,RIBG,25.4426022,75.6397934,10.81521985,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.570468,25.518145],[75.570465,25.516717],[75.570141,25.515121],[75.569499,25.512443],[75.568748,25.50918],[75.568003,25.505401],[75.567633,25.503653],[75.5669,25.501633],[75.565678,25.502518],[75.56486,25.502914],[75.564538,25.502964],[75.564158,25.502969],[75.562624,25.502955],[75.562543,25.503773],[75.562238,25.504158],[75.561353,25.505065],[75.560741,25.505686],[75.560367,25.505989],[75.559489,25.50646],[75.558065,25.507697],[75.556571,25.508743],[75.555736,25.509514],[75.55543,25.510049],[75.555325,25.510321],[75.555165,25.510958],[75.555698,25.513044],[75.556411,25.516926],[75.556874,25.516962],[75.5578,25.517147],[75.56014,25.518067],[75.561996,25.519377],[75.562328,25.519543],[75.562718,25.519652],[75.563069,25.519676],[75.564517,25.519469],[75.567199,25.519003],[75.570468,25.518145]]]]}"
93857,Nadhahet,622,Hindoli,121,Bundi,8,Rajasthan,323024,25.4833,75.572774,479,230,249,189,158,,,TRUE,,,,RJ6859SC00,RJ6859SC00-0,6859,RIBG,25.4426022,75.6397934,8.108614512,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.57837,25.486051],[75.578288,25.485158],[75.578021,25.483477],[75.577793,25.481884],[75.577639,25.480869],[75.577705,25.480281],[75.578028,25.478477],[75.57801,25.477756],[75.577894,25.474352],[75.577599,25.471901],[75.577286,25.469855],[75.577222,25.469548],[75.577037,25.469221],[75.575551,25.467741],[75.575312,25.467432],[75.5752,25.466931],[75.573626,25.466901],[75.573709,25.468083],[75.573756,25.469032],[75.573289,25.469425],[75.572767,25.469806],[75.572594,25.470131],[75.572567,25.470651],[75.572667,25.471695],[75.572712,25.472846],[75.572822,25.473527],[75.572986,25.47391],[75.57318,25.474323],[75.573428,25.474816],[75.573428,25.475327],[75.573189,25.475746],[75.572865,25.476106],[75.572033,25.476665],[75.570881,25.47742],[75.570266,25.477849],[75.570087,25.478116],[75.569978,25.478482],[75.569862,25.479656],[75.569755,25.480915],[75.569814,25.481266],[75.570091,25.482026],[75.570382,25.48288],[75.570514,25.48392],[75.570527,25.48526],[75.570466,25.485663],[75.570187,25.48615],[75.56981,25.486504],[75.568982,25.486963],[75.567749,25.487563],[75.567699,25.487878],[75.567869,25.488212],[75.568433,25.489237],[75.568548,25.489637],[75.568541,25.490053],[75.568354,25.490377],[75.567887,25.491107],[75.567282,25.492077],[75.567178,25.492521],[75.567188,25.493231],[75.567193,25.493687],[75.567336,25.494087],[75.567684,25.494619],[75.568046,25.495145],[75.56906,25.49674],[75.569176,25.497355],[75.569085,25.498014],[75.568954,25.498512],[75.568752,25.499007],[75.568445,25.499699],[75.570026,25.499622],[75.57125,25.499529],[75.571653,25.499446],[75.571938,25.499315],[75.572158,25.499082],[75.572684,25.498079],[75.57302,25.497673],[75.574608,25.496171],[75.575126,25.495674],[75.575537,25.495108],[75.57579,25.494389],[75.576012,25.493244],[75.576279,25.492653],[75.576913,25.491368],[75.577341,25.490238],[75.57791,25.488986],[75.578177,25.487771],[75.578367,25.486677],[75.57837,25.486051]]]]}"
93773,Dhanpuriya,622,Hindoli,121,Bundi,8,Rajasthan,323023,25.54091,75.51449,1139,544,595,182,1,,TRUE,,,RJ6859SP093772,RJ6859SP093772-5,,,6859,RIBG,25.4426022,75.6397934,16.6633325,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.52187,25.550879],[75.521357,25.550016],[75.52057,25.548898],[75.518123,25.545272],[75.517021,25.543686],[75.515953,25.54197],[75.514696,25.540026],[75.512263,25.536377],[75.510379,25.533584],[75.509073,25.531598],[75.508323,25.530495],[75.50771,25.529893],[75.5077,25.531008],[75.507716,25.533277],[75.507461,25.538201],[75.507423,25.54162],[75.507408,25.545072],[75.507136,25.547781],[75.507111,25.548692],[75.507262,25.549284],[75.507639,25.550169],[75.507903,25.550891],[75.509184,25.551497],[75.509703,25.551728],[75.510418,25.551869],[75.512626,25.551927],[75.515765,25.55188],[75.516654,25.55176],[75.519367,25.551308],[75.52187,25.550879]]]]}"
93844,Borda,622,Hindoli,121,Bundi,8,Rajasthan,323001,25.551327,75.692145,961,445,516,86,0,,,TRUE,,,,RJ6859SC13,RJ6859SC13-3,6859,RIBG,25.4426022,75.6397934,13.18207525,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.709902,25.539216],[75.709757,25.538019],[75.709525,25.537424],[75.70851,25.535718],[75.707534,25.534343],[75.706599,25.533122],[75.705943,25.532575],[75.704873,25.531965],[75.703517,25.531322],[75.702309,25.530857],[75.701055,25.530539],[75.700711,25.53043],[75.700311,25.531438],[75.699587,25.533175],[75.698769,25.534911],[75.696953,25.538142],[75.69546,25.540558],[75.694353,25.542329],[75.693818,25.543358],[75.692377,25.546944],[75.691411,25.548978],[75.690052,25.551197],[75.689232,25.552601],[75.688447,25.55338],[75.686935,25.554257],[75.685864,25.554847],[75.682801,25.556319],[75.680108,25.557978],[75.678701,25.558907],[75.678027,25.559457],[75.677687,25.560009],[75.677273,25.560705],[75.676952,25.561223],[75.676162,25.562059],[75.674995,25.563252],[75.674597,25.563912],[75.674388,25.5647],[75.675509,25.565265],[75.678069,25.567177],[75.681066,25.569297],[75.681731,25.569643],[75.682385,25.56997],[75.683193,25.570278],[75.683497,25.57047],[75.68421,25.571059],[75.684694,25.571404],[75.685057,25.571582],[75.685684,25.571744],[75.686566,25.57188],[75.687441,25.571907],[75.688656,25.571944],[75.689141,25.571883],[75.690368,25.571677],[75.691648,25.571444],[75.692619,25.571394],[75.693367,25.57148],[75.695314,25.572052],[75.696075,25.572225],[75.695999,25.571414],[75.696012,25.569532],[75.695947,25.568126],[75.696039,25.567474],[75.696446,25.566393],[75.696971,25.564132],[75.697136,25.562928],[75.697275,25.562576],[75.697573,25.562339],[75.69927,25.5616],[75.70023,25.56123],[75.701387,25.560783],[75.703713,25.560031],[75.704391,25.559631],[75.704784,25.559226],[75.704985,25.558864],[75.705245,25.558222],[75.70564,25.555753],[75.705841,25.55333],[75.705889,25.551462],[75.706069,25.55004],[75.706313,25.549167],[75.707195,25.546502],[75.707783,25.544632],[75.708628,25.54258],[75.709458,25.540637],[75.70984,25.53987],[75.709902,25.539216]]]]}"
93775,Raghunathpura,622,Hindoli,121,Bundi,8,Rajasthan,323024,25.523444,75.508393,950,471,479,214,0,,TRUE,,,RJ6859SP093772,RJ6859SP093772-5,,,6859,RIBG,25.4426022,75.6397934,15.96154369,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.52046,25.520112],[75.520275,25.519827],[75.519842,25.519445],[75.518312,25.51861],[75.517692,25.518025],[75.515706,25.51877],[75.513843,25.519156],[75.511615,25.519404],[75.509969,25.519449],[75.507663,25.519219],[75.505616,25.519081],[75.504127,25.519173],[75.501388,25.519128],[75.501002,25.519055],[75.500167,25.518672],[75.499426,25.518574],[75.498637,25.51862],[75.497702,25.518783],[75.496326,25.51913],[75.496528,25.519391],[75.497324,25.521094],[75.497819,25.521943],[75.498,25.522478],[75.498078,25.523869],[75.498052,25.524529],[75.498162,25.524801],[75.498827,25.525773],[75.499237,25.526198],[75.499804,25.526354],[75.502262,25.526347],[75.502635,25.526403],[75.503471,25.526672],[75.505073,25.52726],[75.50715,25.528194],[75.508205,25.52846],[75.50921,25.5285],[75.510412,25.528537],[75.511162,25.528556],[75.511452,25.528635],[75.511859,25.528771],[75.512245,25.528841],[75.513864,25.528864],[75.514442,25.527532],[75.515477,25.525789],[75.515833,25.525393],[75.517065,25.524591],[75.517983,25.523979],[75.518924,25.523142],[75.519573,25.522289],[75.520184,25.521266],[75.520458,25.520502],[75.52046,25.520112]]]]}"
93809,Beechri,622,Hindoli,121,Bundi,8,Rajasthan,323024,25.528519,75.546096,858,442,416,173,0,,,TRUE,,,,RJ6859SC02,RJ6859SC02-1,6859,RIBG,25.4426022,75.6397934,13.40601383,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.56046,25.540112],[75.559764,25.536817],[75.559249,25.534326],[75.558312,25.528346],[75.557768,25.525496],[75.557092,25.521504],[75.556642,25.518806],[75.556411,25.516926],[75.555513,25.516968],[75.5545,25.517069],[75.553131,25.517294],[75.550159,25.518095],[75.549521,25.518375],[75.549186,25.518565],[75.547834,25.51964],[75.545899,25.521039],[75.544629,25.521934],[75.543077,25.522615],[75.542077,25.522845],[75.540789,25.523008],[75.540384,25.523014],[75.540051,25.522935],[75.539366,25.522656],[75.538874,25.522937],[75.538,25.523201],[75.535732,25.52379],[75.534536,25.524194],[75.534169,25.524512],[75.5334,25.525734],[75.531907,25.527714],[75.531732,25.528077],[75.531897,25.52847],[75.53216,25.528825],[75.53312,25.529708],[75.534447,25.531283],[75.535252,25.532246],[75.537056,25.533748],[75.539305,25.535921],[75.539465,25.53649],[75.539395,25.536879],[75.538993,25.537524],[75.538263,25.53904],[75.541312,25.537586],[75.543119,25.536948],[75.545592,25.536215],[75.546932,25.535932],[75.549237,25.535739],[75.550133,25.535794],[75.551336,25.536188],[75.555318,25.537401],[75.557248,25.538275],[75.559381,25.53962],[75.56046,25.540112]]]]}"
93846,Siyana,622,Hindoli,121,Bundi,8,Rajasthan,323001,25.551655,75.671093,1368,630,738,358,10,,,TRUE,,,,RJ6859SC13,RJ6859SC13-3,6859,RIBG,25.4426022,75.6397934,12.5264157,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.686935,25.554257],[75.686808,25.553513],[75.686725,25.553123],[75.686502,25.552853],[75.685192,25.551563],[75.683489,25.549766],[75.682446,25.548964],[75.681291,25.548215],[75.68004,25.547318],[75.679649,25.546972],[75.679275,25.54654],[75.678928,25.545973],[75.678554,25.545461],[75.678151,25.544974],[75.677458,25.544352],[75.676956,25.544007],[75.676568,25.543682],[75.67618,25.543183],[75.675779,25.542523],[75.67521,25.54171],[75.674698,25.541156],[75.674103,25.540596],[75.673176,25.540248],[75.67262,25.540109],[75.672122,25.539837],[75.671666,25.539419],[75.671028,25.538511],[75.668072,25.53904],[75.665211,25.539278],[75.662721,25.539722],[75.661697,25.539928],[75.660845,25.540451],[75.659818,25.541106],[75.659254,25.541686],[75.65888,25.542334],[75.657992,25.544485],[75.657813,25.545066],[75.657723,25.546281],[75.657842,25.548238],[75.657792,25.549248],[75.657608,25.550202],[75.657388,25.550895],[75.657149,25.551531],[75.656255,25.553313],[75.656126,25.55357],[75.655481,25.555084],[75.655336,25.556248],[75.655251,25.556989],[75.655279,25.557281],[75.655406,25.557553],[75.655988,25.558396],[75.656688,25.559502],[75.657546,25.560916],[75.65828,25.561938],[75.659119,25.562883],[75.660603,25.563335],[75.661664,25.563602],[75.664035,25.564112],[75.665514,25.564573],[75.666511,25.564683],[75.668961,25.5648],[75.672839,25.564743],[75.674388,25.5647],[75.674597,25.563912],[75.674995,25.563252],[75.676162,25.562059],[75.676952,25.561223],[75.677273,25.560705],[75.677687,25.560009],[75.678027,25.559457],[75.678701,25.558907],[75.680108,25.557978],[75.682801,25.556319],[75.685864,25.554847],[75.686935,25.554257]]]]}"
93863,Nathawa,622,Hindoli,121,Bundi,8,Rajasthan,323024,25.453421,75.558305,870,410,460,20,485,,,TRUE,,,,RJ6859SC14,RJ6859SC14-0,6859,RIBG,25.4426022,75.6397934,8.269914185,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.575012,25.451197],[75.574968,25.450331],[75.574806,25.449779],[75.574214,25.449307],[75.573873,25.44896],[75.573686,25.448649],[75.573569,25.447858],[75.573544,25.444927],[75.573686,25.443384],[75.573702,25.442021],[75.573666,25.441708],[75.573321,25.440994],[75.572795,25.440098],[75.572565,25.43942],[75.572514,25.438266],[75.572776,25.43576],[75.572742,25.433016],[75.568688,25.432923],[75.567114,25.43312],[75.566542,25.433321],[75.565689,25.433464],[75.564058,25.433497],[75.560291,25.433414],[75.5576,25.433355],[75.553924,25.433167],[75.552452,25.432987],[75.5475,25.431431],[75.545396,25.430686],[75.54161,25.430178],[75.541598,25.431097],[75.54184,25.432157],[75.542265,25.434156],[75.542639,25.438382],[75.542965,25.441514],[75.543149,25.442577],[75.543686,25.443635],[75.545017,25.445401],[75.545719,25.446259],[75.545985,25.447023],[75.54636,25.448417],[75.546716,25.448982],[75.548795,25.451704],[75.550217,25.452992],[75.552051,25.454671],[75.553111,25.455751],[75.55375,25.45648],[75.554198,25.45735],[75.554557,25.457912],[75.555894,25.459685],[75.556958,25.460878],[75.558312,25.462269],[75.56011,25.46408],[75.561624,25.465556],[75.562981,25.466669],[75.564862,25.468019],[75.565532,25.468748],[75.566965,25.470608],[75.568208,25.472692],[75.568745,25.473991],[75.568967,25.474465],[75.569196,25.474813],[75.569806,25.475294],[75.571006,25.475998],[75.572033,25.476665],[75.572865,25.476106],[75.573189,25.475746],[75.573428,25.475327],[75.573428,25.474816],[75.57318,25.474323],[75.572986,25.47391],[75.572822,25.473527],[75.572712,25.472846],[75.572667,25.471695],[75.572567,25.470651],[75.572594,25.470131],[75.572767,25.469806],[75.573289,25.469425],[75.573756,25.469032],[75.573709,25.468083],[75.573626,25.466901],[75.573145,25.466721],[75.572932,25.466246],[75.572911,25.465273],[75.572675,25.464201],[75.572352,25.463278],[75.572018,25.462493],[75.57167,25.462085],[75.57149,25.461764],[75.571384,25.461368],[75.571362,25.460824],[75.571468,25.460455],[75.571691,25.459643],[75.571826,25.458913],[75.571976,25.458206],[75.572195,25.457682],[75.573284,25.457043],[75.573894,25.456456],[75.574474,25.455611],[75.574794,25.45502],[75.574915,25.454063],[75.575012,25.451197]]]]}"
93824,Raghunathpura,622,Hindoli,121,Bundi,8,Rajasthan,323001,25.54192,75.643088,773,373,400,240,0,,,TRUE,,,,RJ6859SC05,RJ6859SC05-2,6859,RIBG,25.4426022,75.6397934,11.04858506,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.655671,25.553125],[75.655028,25.552625],[75.654051,25.551717],[75.652536,25.55022],[75.651057,25.548888],[75.648285,25.546399],[75.646471,25.544692],[75.644398,25.542724],[75.643571,25.541698],[75.641797,25.539361],[75.640789,25.537961],[75.639656,25.536541],[75.6387,25.535285],[75.638568,25.534983],[75.638192,25.533982],[75.637484,25.532399],[75.636781,25.531299],[75.636072,25.530331],[75.63425,25.530856],[75.630652,25.5316],[75.630506,25.536387],[75.630599,25.539194],[75.630885,25.540489],[75.631343,25.543625],[75.631666,25.546201],[75.63191,25.54953],[75.631807,25.550289],[75.633996,25.551104],[75.635702,25.551815],[75.63652,25.552042],[75.63835,25.552361],[75.641485,25.552452],[75.646261,25.552548],[75.64764,25.552754],[75.650852,25.553428],[75.651654,25.553509],[75.652248,25.553483],[75.652717,25.553195],[75.653073,25.552945],[75.653556,25.552851],[75.655671,25.553125]]]]}"
