village_code,village_name,tehsil_code,tehsil_name,district_code,district_name,state_code,state_name,pincode,latitude,longitude,population,male,female,sc_population,st_population,isstarvillage,isstarpocket,issector,istownsector,label_sector,label_sector_pool,label_star_pocket,label_star_pocket_pool,catchment_branch_solid,catchment_branch_tag,catchment_branch_dist,catchment_branch_lat,catchment_branch_lng,geom
93922,Cheeton Ki Jhonpariya,623,Nainwa,121,Bundi,8,Rajasthan,323802,25.693144,75.899223,925,472,453,88,388,false,false,false,true,,,,,6860,RIBG,4.8822635486376,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.912422,25.700781],[75.912413,25.700174],[75.912278,25.699155],[75.911901,25.697564],[75.911641,25.695746],[75.911481,25.695254],[75.911042,25.694614],[75.91072,25.694308],[75.910319,25.69406],[75.909955,25.693865],[75.90929,25.693637],[75.907731,25.693099],[75.906122,25.692686],[75.904848,25.692495],[75.90418,25.692398],[75.903718,25.692278],[75.903009,25.691645],[75.901614,25.689926],[75.901193,25.689189],[75.900891,25.68836],[75.900639,25.687124],[75.900558,25.686179],[75.900578,25.685464],[75.900747,25.685004],[75.901346,25.68422],[75.900172,25.683104],[75.899754,25.683027],[75.899296,25.682985],[75.89744,25.682979],[75.896429,25.682908],[75.896141,25.682663],[75.895733,25.681989],[75.894144,25.683648],[75.892134,25.685793],[75.890161,25.688524],[75.888742,25.690445],[75.888375,25.691034],[75.887854,25.692282],[75.886883,25.694882],[75.886025,25.697206],[75.888572,25.697886],[75.892144,25.698993],[75.895141,25.699894],[75.898275,25.700795],[75.9018,25.701874],[75.90476,25.702669],[75.908392,25.703752],[75.910118,25.704299],[75.911317,25.70296],[75.911959,25.702189],[75.912261,25.701578],[75.912422,25.700781]]]]}"
93397,Chak Awan,620,Deoli,120,Tonk,8,Rajasthan,304802,25.810219,75.660929,0,0,0,0,0,false,false,true,false,RJ6860SC14,RJ6860SC14-2,,,6860,RIBG,32.027379622929,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.669178,25.81202],[75.669125,25.810866],[75.669003,25.810471],[75.668343,25.808582],[75.668012,25.807145],[75.663354,25.806589],[75.656205,25.805722],[75.655313,25.805691],[75.654577,25.805618],[75.653961,25.805709],[75.653662,25.806076],[75.65273,25.808212],[75.652681,25.808912],[75.652778,25.809548],[75.653046,25.8099],[75.65346,25.810129],[75.653971,25.810351],[75.655088,25.810671],[75.655783,25.810708],[75.656697,25.810746],[75.657114,25.810827],[75.65764,25.811075],[75.658334,25.81155],[75.658786,25.811957],[75.659409,25.812517],[75.659691,25.812702],[75.660377,25.812871],[75.66221,25.813208],[75.664912,25.813794],[75.665855,25.81395],[75.66669,25.814273],[75.667665,25.81482],[75.668074,25.814329],[75.668738,25.813387],[75.668989,25.812916],[75.669106,25.812529],[75.669178,25.81202]]]]}"
93577,Rajpura,621,Uniara,120,Tonk,8,Rajasthan,304024,25.855515,75.916793,13,9,4,0,13,false,false,true,false,RJ6860SC00,RJ6860SC00-0,,,6860,RIBG,19.977986053862,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.924053,25.860597],[75.923396,25.858171],[75.922784,25.855033],[75.922624,25.854109],[75.922647,25.853571],[75.92289,25.852548],[75.923075,25.851628],[75.92321,25.850218],[75.923205,25.849658],[75.918209,25.849452],[75.916374,25.84929],[75.915394,25.849185],[75.914347,25.849147],[75.912653,25.849762],[75.910567,25.851829],[75.909534,25.853536],[75.910527,25.854184],[75.912046,25.855818],[75.912897,25.856901],[75.913401,25.858161],[75.91513,25.860974],[75.915515,25.861236],[75.916901,25.861645],[75.91874,25.861884],[75.921661,25.861622],[75.923161,25.861089],[75.924053,25.860597]]]]}"
93889,Kholara,623,Nainwa,121,Bundi,8,Rajasthan,323801,25.82238,75.816326,825,438,387,221,395,false,true,false,false,,,RJ6860SP093887,RJ6860SP093887-4,6860,RIBG,20.606672871426,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.826362,25.818425],[75.826158,25.816997],[75.825816,25.814528],[75.825573,25.811876],[75.825273,25.810904],[75.824584,25.810601],[75.822719,25.809897],[75.821586,25.809492],[75.820904,25.809347],[75.820107,25.809281],[75.819627,25.80911],[75.818611,25.808455],[75.817882,25.808299],[75.815909,25.808847],[75.815624,25.808917],[75.814809,25.809211],[75.814026,25.809304],[75.812349,25.809419],[75.811834,25.809594],[75.811599,25.809795],[75.811167,25.810384],[75.810499,25.811351],[75.810853,25.811497],[75.811268,25.811526],[75.811792,25.811599],[75.811914,25.81199],[75.811896,25.812424],[75.811848,25.814308],[75.811794,25.814916],[75.8116,25.815248],[75.811286,25.815811],[75.809857,25.818209],[75.808652,25.819864],[75.808241,25.820413],[75.807804,25.820961],[75.807476,25.821523],[75.807367,25.822158],[75.806991,25.823949],[75.806638,25.825132],[75.806469,25.825913],[75.806291,25.826923],[75.806321,25.827558],[75.806541,25.828338],[75.806867,25.829232],[75.806983,25.829526],[75.807247,25.830185],[75.80808,25.833135],[75.808337,25.834433],[75.808538,25.835372],[75.810424,25.835584],[75.813066,25.836245],[75.81363,25.836423],[75.813922,25.836462],[75.814492,25.836423],[75.815629,25.836208],[75.818446,25.835557],[75.819669,25.835303],[75.820533,25.834978],[75.821644,25.834398],[75.822769,25.833652],[75.822508,25.832088],[75.822166,25.829729],[75.822193,25.829036],[75.822314,25.828416],[75.822497,25.827969],[75.822767,25.827421],[75.823629,25.825927],[75.825451,25.823201],[75.82604,25.821967],[75.826208,25.821203],[75.826293,25.820149],[75.826362,25.818425]]]]}"
93994,Ganeshpura,623,Nainwa,121,Bundi,8,Rajasthan,323802,25.694822,75.960669,603,322,281,272,19,false,false,false,true,,,,,6860,RIBG,2.48669755855231,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.973158,25.686352],[75.972952,25.684757],[75.972214,25.684547],[75.972405,25.683906],[75.972566,25.683567],[75.971833,25.683467],[75.969806,25.683253],[75.968633,25.683063],[75.968031,25.683014],[75.966903,25.683073],[75.963505,25.683466],[75.959633,25.683769],[75.957116,25.684251],[75.955856,25.684538],[75.95503,25.684576],[75.953335,25.68465],[75.952816,25.68479],[75.952498,25.685057],[75.951836,25.685939],[75.950263,25.687803],[75.949387,25.689025],[75.948954,25.690118],[75.948274,25.691622],[75.94819,25.691973],[75.948207,25.692358],[75.948181,25.693173],[75.948314,25.69573],[75.948183,25.698368],[75.948206,25.699671],[75.948305,25.700327],[75.948505,25.70079],[75.94899,25.701591],[75.949267,25.702266],[75.949622,25.703648],[75.949791,25.704129],[75.95018,25.704491],[75.950655,25.704767],[75.951143,25.70515],[75.95191,25.705866],[75.954491,25.705812],[75.955739,25.705839],[75.957123,25.706005],[75.959061,25.706206],[75.960621,25.706345],[75.961732,25.70663],[75.962231,25.705716],[75.962402,25.705333],[75.962507,25.705046],[75.962718,25.703739],[75.962817,25.702199],[75.963066,25.700686],[75.963589,25.69852],[75.963938,25.696869],[75.964159,25.696234],[75.96525,25.694611],[75.965807,25.693631],[75.966686,25.692281],[75.967809,25.691043],[75.968851,25.689914],[75.969554,25.689201],[75.969828,25.6889],[75.970237,25.688699],[75.970932,25.688598],[75.971371,25.688563],[75.971846,25.688397],[75.972804,25.688041],[75.972979,25.687703],[75.973122,25.687113],[75.973158,25.686352]]]]}"
93871,Chawandpura,623,Nainwa,121,Bundi,8,Rajasthan,323802,25.853356,76.019874,862,472,390,169,20,true,true,false,false,,,RJ6860SP093871,RJ6860SP093871-1,6860,RIBG,20.9363662007771,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.032064,25.848036],[76.031436,25.847831],[76.031121,25.847597],[76.029912,25.846436],[76.028345,25.845122],[76.027978,25.844894],[76.027341,25.844675],[76.025176,25.843991],[76.022855,25.843262],[76.019856,25.842809],[76.019161,25.842731],[76.018612,25.842846],[76.018008,25.843204],[76.017025,25.843998],[76.016626,25.844247],[76.015912,25.844495],[76.01474,25.845242],[76.013075,25.84627],[76.011234,25.847462],[76.010025,25.848221],[76.009059,25.849073],[76.007715,25.850278],[76.00785,25.853281],[76.007876,25.854262],[76.007811,25.855092],[76.007713,25.855898],[76.007684,25.856706],[76.007784,25.858061],[76.007895,25.860482],[76.007841,25.862341],[76.008785,25.862498],[76.010951,25.863119],[76.012035,25.863283],[76.014386,25.863136],[76.017096,25.863025],[76.0188,25.863148],[76.020562,25.863524],[76.022202,25.863876],[76.023392,25.863981],[76.024627,25.863756],[76.025626,25.863418],[76.027405,25.862526],[76.029205,25.86151],[76.029553,25.861267],[76.029927,25.860885],[76.030196,25.86054],[76.030523,25.859968],[76.030739,25.859267],[76.030872,25.858582],[76.030998,25.857731],[76.031085,25.856621],[76.031087,25.855534],[76.030931,25.854708],[76.031053,25.854132],[76.031349,25.85343],[76.031439,25.853057],[76.031571,25.852393],[76.031636,25.851809],[76.031877,25.84974],[76.032064,25.848036]]]]}"
93435,Charnet,620,Deoli,120,Tonk,8,Rajasthan,304802,25.88134,75.747304,974,505,469,108,657,false,false,true,false,RJ6860SC12,RJ6860SC12-1,,,6860,RIBG,30.0691202366699,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.760379,25.878685],[75.760223,25.878275],[75.759841,25.877622],[75.759742,25.877291],[75.759755,25.876839],[75.759752,25.8758],[75.759919,25.873341],[75.759898,25.872545],[75.759862,25.872147],[75.7598,25.871484],[75.759846,25.869607],[75.759842,25.869096],[75.759715,25.868172],[75.759067,25.866385],[75.756559,25.866221],[75.756213,25.866188],[75.755735,25.865965],[75.75499,25.865611],[75.754576,25.86543],[75.754017,25.865215],[75.752527,25.864875],[75.750335,25.864321],[75.749712,25.86414],[75.749228,25.864153],[75.748763,25.864251],[75.748154,25.864461],[75.747951,25.864755],[75.747876,25.865077],[75.747869,25.865866],[75.74778,25.866184],[75.746968,25.866901],[75.746279,25.867597],[75.745962,25.867986],[75.743943,25.871439],[75.743372,25.872595],[75.742176,25.874898],[75.740576,25.878035],[75.738974,25.881709],[75.737733,25.884328],[75.736589,25.886116],[75.735731,25.888229],[75.735301,25.889951],[75.735246,25.890861],[75.735269,25.891477],[75.735004,25.892281],[75.734671,25.893782],[75.734369,25.895277],[75.73423,25.896137],[75.734276,25.896695],[75.734495,25.897463],[75.734678,25.897899],[75.735036,25.897776],[75.735871,25.897494],[75.73631,25.897441],[75.737076,25.897437],[75.73742,25.897462],[75.73776,25.897558],[75.738059,25.89775],[75.73823,25.898006],[75.738435,25.898541],[75.738849,25.898285],[75.740224,25.897397],[75.742358,25.895877],[75.744617,25.894308],[75.745687,25.893421],[75.74811,25.891344],[75.749855,25.889803],[75.751083,25.888662],[75.751998,25.888014],[75.754038,25.886827],[75.756089,25.88555],[75.757741,25.88432],[75.758208,25.883841],[75.758627,25.883067],[75.759156,25.88187],[75.760139,25.879792],[75.760284,25.879181],[75.760379,25.878685]]]]}"
93909,Balapura,623,Nainwa,121,Bundi,8,Rajasthan,323801,25.696494,75.776972,736,392,344,72,532,false,false,true,false,RJ6860SC05,RJ6860SC05-3,,,6860,RIBG,16.9478193598712,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[75.790142,25.706012],[75.788895,25.705036],[75.78876,25.704779],[75.788729,25.704444],[75.788928,25.703738],[75.789092,25.703305],[75.789138,25.702481],[75.789266,25.701359],[75.789205,25.70076],[75.788969,25.699613],[75.788635,25.697671],[75.788407,25.696554],[75.788068,25.696047],[75.787718,25.695406],[75.787481,25.694618],[75.787278,25.693398],[75.787014,25.692146],[75.78478,25.692477],[75.783169,25.692658],[75.782174,25.69268],[75.781855,25.692618],[75.781236,25.692316],[75.779691,25.691506],[75.778431,25.690836],[75.777445,25.690399],[75.777083,25.690306],[75.776447,25.690261],[75.774191,25.690142],[75.773836,25.690199],[75.773374,25.69033],[75.772892,25.690311],[75.772576,25.690238],[75.772003,25.690074],[75.771293,25.689825],[75.76949,25.688928],[75.768979,25.688662],[75.768146,25.687285],[75.767789,25.686431],[75.767236,25.684529],[75.766741,25.684589],[75.767881,25.687848],[75.768107,25.688794],[75.768134,25.689208],[75.768107,25.68958],[75.767804,25.690068],[75.767326,25.69065],[75.767006,25.691212],[75.766809,25.692002],[75.766514,25.693076],[75.765844,25.69418],[75.765176,25.695449],[75.76498,25.69624],[75.764612,25.697695],[75.764209,25.698983],[75.76387,25.700034],[75.763806,25.701208],[75.763803,25.702673],[75.763878,25.702953],[75.764355,25.703182],[75.764799,25.703321],[75.765984,25.703233],[75.767455,25.70311],[75.768564,25.703103],[75.768845,25.703164],[75.769021,25.703401],[75.76958,25.704624],[75.769752,25.704863],[75.770694,25.705251],[75.772434,25.705454],[75.773522,25.70563],[75.774204,25.70572],[75.774595,25.705791],[75.774871,25.705901],[75.775168,25.706134],[75.775401,25.706416],[75.775393,25.707017],[75.775401,25.707732],[75.775599,25.707987],[75.775952,25.708158],[75.776524,25.708308],[75.777437,25.708459],[75.778245,25.708427],[75.77973,25.708313],[75.780938,25.708075],[75.782388,25.707761],[75.783552,25.70742],[75.784561,25.707027],[75.786792,25.705998],[75.787596,25.70557],[75.787932,25.705512],[75.789319,25.705736],[75.790142,25.706012]]]]}"
94050,Bhanwarkhol @ Arjunpura,623,Nainwa,121,Bundi,8,Rajasthan,323615,25.606059,76.056342,274,147,127,0,0,false,true,false,false,,,RJ6860SP094053,RJ6860SP094053-5,6860,RIBG,13.7241946628992,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.073897,25.615302],[76.073886,25.612298],[76.073571,25.607338],[76.072421,25.607706],[76.071917,25.60788],[76.07137,25.607876],[76.070706,25.60771],[76.06773,25.606708],[76.064976,25.60581],[76.063032,25.605165],[76.0623,25.604969],[76.061726,25.604886],[76.060983,25.604757],[76.060377,25.604304],[76.060061,25.603979],[76.059963,25.603634],[76.059912,25.603223],[76.059894,25.601235],[76.05837,25.601532],[76.057602,25.60172],[76.056905,25.601772],[76.056117,25.601739],[76.055422,25.601571],[76.054743,25.601375],[76.053318,25.600911],[76.051642,25.600356],[76.050363,25.599871],[76.049993,25.599728],[76.048564,25.598809],[76.047099,25.597749],[76.046459,25.597251],[76.044592,25.59562],[76.04399,25.594999],[76.04247,25.595619],[76.041951,25.595781],[76.041441,25.595865],[76.038788,25.595839],[76.039077,25.598355],[76.039618,25.602565],[76.040249,25.605878],[76.040537,25.607501],[76.040511,25.60815],[76.040612,25.608588],[76.040762,25.609052],[76.041437,25.609853],[76.041681,25.609999],[76.042331,25.610311],[76.043092,25.610581],[76.043831,25.610713],[76.045147,25.610852],[76.047232,25.611016],[76.050634,25.611347],[76.052646,25.611481],[76.053416,25.611548],[76.054261,25.611698],[76.055326,25.611939],[76.057098,25.612521],[76.059604,25.61323],[76.061698,25.613834],[76.063897,25.614607],[76.066545,25.615628],[76.069294,25.61661],[76.070387,25.616987],[76.070879,25.617078],[76.073347,25.617091],[76.073832,25.61712],[76.073897,25.615302]]]]}"
94002,Arjunpura,623,Nainwa,121,Bundi,8,Rajasthan,323802,25.699442,76.047269,359,187,172,155,185,true,true,false,false,,,RJ6860SP094004,RJ6860SP094004-5,6860,RIBG,10.5504057036907,25.677628,75.944801,"{""type"":""MultiPolygon"",""coordinates"":[[[[76.059011,25.700506],[76.059001,25.699875],[76.058778,25.699078],[76.058523,25.698147],[76.058229,25.697248],[76.058109,25.696928],[76.057955,25.696409],[76.057167,25.69618],[76.056659,25.695951],[76.05591,25.695369],[76.055675,25.695185],[76.054457,25.694438],[76.054067,25.69433],[76.053735,25.694348],[76.053031,25.694677],[76.052494,25.69488],[76.051761,25.694946],[76.051048,25.694908],[76.049705,25.694777],[76.0485,25.694546],[76.048068,25.69439],[76.046145,25.693559],[76.043024,25.692484],[76.040546,25.691729],[76.040177,25.69168],[76.039739,25.6917],[76.039336,25.691649],[76.039014,25.691533],[76.038936,25.691974],[76.038665,25.692724],[76.038314,25.693698],[76.038052,25.69439],[76.037755,25.695054],[76.037371,25.695774],[76.03695,25.696326],[76.036522,25.696719],[76.036199,25.696959],[76.035528,25.697379],[76.037232,25.698405],[76.038043,25.698964],[76.03953,25.70036],[76.041312,25.701929],[76.042446,25.702939],[76.042981,25.703615],[76.043578,25.704176],[76.044814,25.705309],[76.045915,25.706257],[76.04687,25.706974],[76.047162,25.707108],[76.047543,25.707156],[76.048675,25.707352],[76.049445,25.706525],[76.050281,25.705611],[76.050759,25.705161],[76.051487,25.704728],[76.05283,25.704094],[76.053909,25.70367],[76.054359,25.703471],[76.054718,25.703349],[76.055223,25.703305],[76.05609,25.703302],[76.0572,25.70337],[76.057478,25.703311],[76.057924,25.703072],[76.058416,25.70245],[76.058711,25.701766],[76.058913,25.701044],[76.059011,25.700506]]]]}"
